domain,survivor_id,survivor_name,survivor_reason,loser_id,loser_name,loser_people
asml.com,57660,ASML,has Company Research,68748,ASML,2
asp.com,66337,Advanced Sterilization Products,has Company Research,66931,ASP,5
astecindustries.com,13339,Astec Industries,most people (7),67778,"Astec, Inc",2
astronics.com,17921,Astronics,has Company Research,62648,Astronics Corporation,1
astronics.com,17921,Astronics,has Company Research,68803,Astronics Corporation,2
astronovainc.com,29007,"AstroNova, Inc.",most people (4),51689,"AstroNova, Inc.",1
astronovainc.com,29007,"AstroNova, Inc.",most people (4),67203,AstroNova,1
atcny.com,36202,Accessory Technologies Corp,most people (6),67071,Accessory Technologies,2
atcphx.com,1305,ATC Phx,most people (2),52995,Air Transport Components,1
atgshades.com,33235,Aerospace Technologies Group,has Company Research,67103,Aerospace Technologies Group,4
ati.org,5530,ATI Materials,has Company Research,18920,ATI | Advanced Technology International,1
atlascopco.com,7441,Atlas Cop,most people (18),23824,Compressor-Pump & Service,1
atlascopco.com,7441,Atlas Cop,most people (18),67777,Atlas Copco,1
atscva.com,33237,Advanced Technology Systems Company,has Company Research,67102,Advanced Technology Systems,1
aurora.aero,68783,Aurora Flight Sciences,has Company Research,4036,Aurora Flight Sciences,55
aurora.tech,36182,Aurora Innovation,most people (5),51609,Aurora,2
aurubis.com,63328,Aurubis,most people (1),63968,Aurubis,1
avantorsciences.com,2961,Avantor,most people (9),16841,"Avantor, Inc.",1
avcovalve.com,9870,Avcovalve,most people (1),22245,Alloy Valves and Controls,1
avibank.com,11772,"Avibank Mfg., Inc.",most people (3),67057,Avibank Mfg,1
avidyne.com,51578,Avidyne,has Company Research,33241,Avidyne,2
avinc.com,67417,AV,has Company Research,16001,AeroVironment,36
avionsolutions.com,351,Avion Solutions,most people (3),68590,"Avion Solutions, Inc.",1
avon-protection.com,28590,avon-protection.com,has Company Research,53071,Avon Protection,3
avtechtyee.com,9414,AvTechTyee,most people (10),69075,AvtechTyee Corporation,1
avtechtyee.com,9414,AvTechTyee,most people (10),69151,AvtechTyee,1
axiantech.com,8783,Axiant Technologies,most people (1),21476,Axian Technology,1
axiomspace.com,8644,Axiom Space,has Company Research,67205,Axiom Space,1
aydindisplays.com,36271,Aydin Displays,has Company Research,68813,Aydin Displays,1
az.gov,22263,State of Arizona,most people (1),35051,Gila River Navigation,1
aztecwell.com,5181,Aztec Well Servicing,most people (1),18539,"Aztec Well Servicing, Co., Inc.",1
baesystems.com,14132,BAE Systems,has Company Research,50932,Ball Aerospace,5
baesystems.com,14132,BAE Systems,has Company Research,60999,BAE Systems Digital Intelligence,8
baldor.com,7955,Baldor Electric Company,most people (2),67861,ABB Memphis,1
ball.com,67337,Ball,most people (23),10281,Ball Corporation,9
ball.com,67337,Ball,most people (23),68858,Ball Corporation,1
bama.com,27056,Bama Companies,most people (2),66026,"The Bama Companies, Inc",1
bankspower.com,13765,Banks Power,most people (3),66664,Banks Power,2
bar-s.com,1036,Bar-S Foods Co.,most people (4),62684,Bar-S Foods,1
bardex.com,69116,Bardex,has Company Research,67105,Bardex,14
barksdale.com,11911,Barksdale,most people (6),64507,Barksdale Control Products,2
barnesaero.com,50911,Barnes Aerospace,has Company Research,68544,Barnes Aerospace,4
barrett.net,69321,Barrett Firearms,most people (4),21201,Barrett Firearms Manufacturing,2
barrett.net,69321,Barrett Firearms,most people (4),52954,Barrett Firearms Mfg,2
barrywehmiller.com,32653,BW Converting,most people (1),50791,Barry-Wehmiller,1
batteryxchange.com,2685,Batteryxchange,most people (1),16753,Battery X-Change,1
battlearmsdevelopment.com,21602,"Battle Arms Development, Inc.",most people (1),69315,"Battle Arms Development, Inc.",0
bauerct.com,67050,Bauer,most people (3),28442,Bauer,1
bayer.com,10695,Bayer CropScience Vegetable Seeds,most people (5),22732,Bayer,1
bayer.com,10695,Bayer CropScience Vegetable Seeds,most people (5),68314,Bayer Corp.,2
baywa-re.com,56092,BayWa r.e.,most people (7),31123,BayWa,1
baywa-re.com,56092,BayWa r.e.,most people (7),62905,BayWa r.e.,1
baywa-re.com,56092,BayWa r.e.,most people (7),62937,BayWa r.e.,1
bbb.org,18170,Sewer and Pipeline Contractors,most people (1),18511,Farwest Pump,1
bbb.org,18170,Sewer and Pipeline Contractors,most people (1),21276,Better Business Bureau,1
bbb.org,18170,Sewer and Pipeline Contractors,most people (1),21754,Superior Hydraulics & Fabrication,1
bbb.org,18170,Sewer and Pipeline Contractors,most people (1),23244,Better Business Bureau,1
bbb.org,18170,Sewer and Pipeline Contractors,most people (1),67404,Better Business Bureau,1
bchydro.com,66473,BC Hydro,most people (40),69098,BC Hydro,21
bd.com,57418,BD,most people (314),23586,Safety Syringes Inc.,1
bd.com,57418,BD,most people (314),56358,BD,1
bd.com,57418,BD,most people (314),66549,BD,24
bd.com,57418,BD,most people (314),66585,BD,3
beckhoff.com,62235,Beckhoff Automation USA,most people (2),14292,Beckhoff Automation,1
beckwoodpress.com,31968,Bastian Solutions,most people (5),67040,Beckwood,1
beconsumables.com,33252,Boeing Distribution Services,most people (9),66290,Boeing Distribution Services,3
beechcraft.com,31701,Beechcraft,most people (28),68751,Beechcraft,1
beehive-industries.com,68779,Beehive Industries,has Company Research,32798,Beehive Industries,8
begroupllc.com,51647,B&E Group,has Company Research,27960,begroupllc.com,1
bellflight.com,129,Bell,has Company Research,60978,Bell Flight,104
bellflight.com,129,Bell,has Company Research,66054,Bell,3
bellflight.com,129,Bell,has Company Research,67351,Bell Textron,6
bench.com,23643,Secure Communication Systems Inc.,has Company Research,62715,Benchmark,4
benchmade.com,8909,"Benchmade Knife Company, Inc.",most people (3),64471,Benchmade,1
berettausa.com,37667,Beretta USA Corp,most people (8),67190,Beretta USA,2
bergsen.com,11761,Bergsen Metals,most people (3),23479,Bergsen Metals,1
berkshiregrey.com,30955,Berkshire Grey,most people (3),68742,Berkshire Grey,1
beyondgravity.com,34813,Beyond Gravity,has Company Research,68745,Beyond Gravity,1
bhid.com,32051,MPW Industrial Services,most people (6),23161,Custom Tooling & Fabrication,1
bhinternational.biz,12260,B&H International LLC,most people (2),23670,B & H International LLC,1
bimart.com,10647,Bi-Mart,most people (1),66593,Bi-Mart,1
bio-rad.com,16264,Bio-Rad,most people (88),69191,Bio-Rad Laboratories,1
biofiredefense.com,12328,BioFire Defense LLC,has Company Research,51254,BioFire Defense,1
biomerics.com,10944,Biomerics,most people (5),22955,Biomerics,1
biomerieux.com,7581,biomerieux,most people (4),67438,bioMérieux,1
biosafesystems.com,32052,BioSafe Systems,most people (1),55241,Bio-Safe America LLC,1
birdsongpeanuts.com,26808,Birdsong Peanuts,most people (1),66682,Birdsong Peanuts,1
bjgelectronics.com,56929,BJG Electronics Group,has Company Research,28051,bjgelectronics.com,4
bkvibro.com,11470,BrÃ¼el & KjÃ¦r Vibro,most people (1),63380,Brüel & Kjær Vibro,1
blacksky.com,66016,BlackSky,has Company Research,28692,blacksky.com,7
blacksky.com,66016,BlackSky,has Company Research,50807,BlackSky,4
blendtec.com,9719,Blendtec LLC,most people (1),67516,Blendtec,1
blinkcharging.com,31121,Blink,most people (1),63020,Blink Charging,1
bloomenergy.com,69109,Bloom Energy,most people (22),31124,Bloom Energy,19
bluecanyontech.com,12343,Blue Canyon,has Company Research,67494,Blue Canyon Technologies,1
bluetriton.com,986,BlueTriton Brands,most people (4),66623,BlueTriton Brands,1
bmtaerospace.com,47281,BMT Aerospace,most people (2),66936,BMT Aerospace,2
bobcometal.com,11578,Bobco Metals,most people (1),66132,Bobco Metals,1
bodycote.com,36355,"Ellison Surface Technologies, Inc.",has Company Research,50837,Bodycote,1
boeing.com,28485,Boeing,has Company Research,49604,Boeing (Mesa),5
boeing.com,28485,Boeing,has Company Research,50808,"Aviall, A Boeing Company",3
boeing.com,28485,Boeing,has Company Research,65050,Boeing Defense,6
boeing.com,28485,Boeing,has Company Research,65215,Boeing BGS,37
boeing.com,28485,Boeing,has Company Research,65217,Boeing BCS,2
boeing.com,28485,Boeing,has Company Research,69233,Boeing,16
boeing.com,28485,Boeing,has Company Research,69358,Boeing Defense Space & Security,0
bokers.com,40011,"Boker's, Inc.",most people (2),66548,Boker's Inc,1
bondarms.com,21288,Bond Arms Inc.,most people (1),69334,Bond Arms,1
boomsupersonic.com,183,"Boom Technology, Inc.",most people (6),67079,Boom,1
borgwarner.com,211,Borg Warner,most people (45),50743,BorgWarner,6
borgwarner.com,211,Borg Warner,most people (45),68789,BorgWarner,9
borin.com,1241,BORIN,most people (2),15464,"BORIN Manufacturing, Inc.",1
boringcompany.com,14092,The Boring Company,most people (12),69120,The Boring Company,3
bostonscientific.com,66618,Boston Scientific,most people (5),25919,Boston Scientific;Boston Scientific,1
bourns.com,28949,"Bourns, Inc.",most people (3),56926,"Bourns, Inc.",1
bp.com,17871,bp,most people (2),4479,Bp P.l.c.,1
bpssg.com,68643,BPS Supply Group,most people (2),68970,"BAKERSFIELD PIPE & SUPPLY, INC",2
bralco.com,68959,BRALCO METALS,most people (16),13431,Bralco Metals,15
brincdrones.com,17416,BRINC Drones,most people (5),67144,BRINC Drones,1
brita.com,4251,Brita,most people (3),26076,Brita;brtia.net,1
broadcom.com,32098,Avago Technologies,most people (10),55877,Broadcom,4
broncowine.com,26830,Bronco Wine Company,most people (2),64072,Bronco Wine Co.,1
brooks.com,13596,Brooks Automation,most people (4),66820,Brooks Automation,1
browning.com,21613,Browning Arms,most people (2),69356,Browning,0
bryantrubber.com,13714,Bryant Rubber,most people (10),68253,Bryant Rubber Corporation,2
bsbsystems.com,26820,BS&B Safety Systems,most people (1),66094,BS&B Safety Systems,1
buehler.com,2806,Buehler,most people (6),67094,Buehler,1
busek.com,36050,Busek,has Company Research,67047,Busek,1
bushmaster.com,26907,Bushmaster Firearms International,most people (1),69336,Bushmaster Firearms,0
buyersproducts.com,67164,Buyers Products,most people (9),32305,Buyers Products,5
byd.com,171,BYD Company Limited,most people (6),55405,BYD North America,1
c4ats.com,36294,"C4 Advanced Tactical Systems, LLC.",most people (5),67059,C4 Advanced Tactical Systems,5
ca.gov,22294,State of California,most people (2),22269,State of California,1
cadwell.com,67509,Cadwell,has Company Research,12996,Cadwell Laboratories,2
cadwell.com,67509,Cadwell,has Company Research,51293,Cadwell,1
cae.com,4061,CAE,has Company Research,50920,CAE USA,6
cae.com,4061,CAE,has Company Research,67344,CAE,5
cae.com,4061,CAE,has Company Research,68574,CAE,1
caes.com,52944,Honeywell Aerospace Technologies,has Company Research,13928,CAES Systems LLC,1
caireinc.com,1816,CAIRE,most people (2),68223,AirSep Corporation,1
calnetix.com,66987,Calnetix,most people (22),69106,Calnetix,1
calspan.com,4518,Calspan,has Company Research,67294,Calspan,2
camfil.com,4270,Camfil,most people (4),67352,Camfil,4
campbellsoupcompany.com,920,Campbell's,most people (6),66147,The Campbell's Company,1
canoo.com,62217,Canoo,most people (4),7872,Canoo Inc.,3
canyonaeroconnect.com,65084,Canyon AeroConnect,most people (6),69076,Canyon AeroConnect,1
capellaspace.com,66944,Capella Space,has Company Research,10279,Capella Space,4
capsahealthcare.com,3823,Capsa Healthcare,has Company Research,67485,Capsa Healthcare,3
carbon3d.com,30179,Carbon,has Company Research,66808,Carbon,1
carlsoneng.com,13547,Carlson Engineering & Manufacturing,most people (2),66819,Carlson Engineering & Manufacturing,1
carrier.com,67766,Carrier Corp.,most people (4),3910,Carrier,2
cathetertipping.com,5763,Machine Solutions,has Company Research,22585,Machine Solutions Inc.,1
cbol.com,14016,CBOL Corporation,most people (10),66321,Cbol,1
cedcareers.com,9731,CED Careers,most people (1),21851,Arizona Electric Supply,1
cem.com,2770,CEM,most people (4),67461,CEM Corporation,4
cepainc.com,26790,CE Precision Assemblies,has Company Research,28034,cepainc.com,1
cepainc.com,26790,CE Precision Assemblies,has Company Research,52931,"C.E. Precision Assemblies, LLC., Connected by Trexon",2
cepheid.com,14205,Cepheid,most people (19),67755,Cepheid,3
cfs.energy,10117,Commonwealth Fusion Systems,has Company Research,67232,Commonwealth Fusion Systems,157
championaerospace.com,26129,Champion Aerospace LLC;Champion Aerospace,has Company Research,69084,Champion Aerospace,6
championx.com,4912,ChampionX,most people (25),18444,ChampionX,1
chandlerindustries.com,36300,Chandler Industries,most people (3),67540,Chandler Industries,1
chanutemfg.com,69182,Chanute Mfg,most people (9),30780,Chanute Mfg,1
chardam.com,36301,Chardam Gear Company,has Company Research,67130,Chardam Gear,2
chatsworth.com,65923,Chatsworth Products,most people (6),67272,Chatsworth Products,6
chelton.com,4398,Chelton,has Company Research,69157,Chelton,1
chembio.com,5800,Chembio Diagnostic Systems,most people (2),51160,Chembio Diagnostics,1
chemring.com,61008,Chemring,has Company Research,15739,Chemring,3
chemring.com,61008,Chemring,has Company Research,25787,Chemring,1
choctawdefense.com,18905,Choctaw Defense Manufacturing,has Company Research,52936,Choctaw Defense,2
chouest.com,47416,Edison Chouest Offshore,most people (6),67402,Edison Chouest Offshore,1
chspencer.com,15526,C.H. Spencer & Co.,most people (1),23827,C.H. Spencer & Co.,1
cimarron.com,32137,"Cimarron Energy, Inc.",most people (2),50838,Cimarron,1
cinch.com,37799,Cinch Connectivity Solutions,most people (1),68288,"Cinch Connectivity Solutions, Inc",1
cisco.com,169,"Cisco Systems, Inc.",most people (13),14297,Cisco,2
cla.aero,56961,Telford Aviation,most people (1),61003,C&L Aviation Group,1
clearalign.com,36305,Clear Align,has Company Research,68562,Clear Align,1
cleaverbrooks.com,26979,Cleaver-Brooks,most people (1),66112,Cleaver-Brooks,1
cmigrp.com,49618,CMI,most people (4),68784,CMI Group,1
cmmginc.com,21208,CMMG Inc,most people (1),69345,CMMG,1
cobham.com,14108,Cobham,has Company Research,67436,Cobham,1
coherent.com,19168,Coherent,most people (12),67772,Coherent Corp.,0
cohu.com,11900,Cohu,most people (32),68836,"Cohu, Inc.",1
colheli.com,27092,COLUMBIA HELICOPTERS,has Company Research,69133,Columbia Helicopters,4
coloradopremium.com,26816,Colorado Premium,most people (3),66675,Colorado Premium,1
colsa.com,36309,COLSA,has Company Research,68739,COLSA,1
commonspirit.org,64353,MOUNTAIN POINT MEDICAL CENTER,most people (1),64369,Jordan Valley Medical Center,1
commscope.com,7867,CommScope,most people (1),66685,CommScope,1
composite-resources.com,7516,Composite-Resources,most people (1),52896,Re:Build Composite Resources,1
comtech.com,29192,Comtech,has Company Research,20365,Comtech Telecommunications Corp.,1
conhagen.com,68619,The Conhagen,most people (5),21070,Conhagen Rotating Equipment Specialist,1
conmed.com,7860,CONMED,most people (10),50678,CONMED Corporation,2
conocophillips.ca,4692,ConocoPhillips,most people (28),17800,ConocoPhillips Canada,4
continental.aero,62655,Continental Aerospace TechnologiesTM,most people (1),67109,Continental Aerospace Technologies,1
cookmedical.com,2277,Cook,most people (4),50751,Cook Medical,4
cookmedical.com,2277,Cook,most people (4),69195,Cook Medical,1
cooperfab.com,9182,Cooper Fabrication,most people (2),66312,Cooper Fabrication,1
copperstate.com,11236,Copper State Bolt & Nut,most people (5),22844,Copper State Bolt & Nut Company,1
coronetled.com,13359,Coronet LED,most people (1),24564,"Coronet, Inc",1
corvidtec.com,32971,Corvid Technologies,has Company Research,67200,Corvid Technologies,2
cpiaero.com,65893,CPI Aerostructures,has Company Research,30230,CPI Aero,8
cpii.com,66375,CPI,has Company Research,11905,Communications & Power Industries LLC,8
cppcorp.com,62637,Consolidated Precision Products Corp,has Company Research,33294,Consolidated Precision Products Corp,2
cpvmfg.com,2709,CPV Manufacturing,most people (3),16970,Admiral Valve,1
cranespecialists.com,9292,Crane Specialists,most people (1),66729,"Crane Specialists, Inc.",1
creationtech.com,67407,Creation Technologies,most people (17),51388,IEC Electronics Corp.,1
creative-diagnostics.com,2326,CreativeDiagnostics,most people (1),66770,CreativeDiagnostics,1
creativesystems.com,5588,Creative Recreational Systems,most people (1),26142,Creative Recreational Systems Inc,1
cretexmedical.com,19339,Cretex Medical,has Company Research,5970,Cretex Medical,1
criver.com,10604,Charles River Laboratories,most people (1),22647,Charles River Laboratories,1
crowncork.com,31462,Container Life Cycle Management LLC,most people (6),50777,"Crown Holdings, Inc.",2
crownprecision.com,8496,Crown Precision,most people (2),21167,Crown Precision Corp,1
csitx.com,32808,Crescent Systems Inc,has Company Research,52948,Crescent Systems Inc,1
ctsengines.com,36318,CTS Engines,has Company Research,68556,CTS Engines,1
cubcrafters.com,9408,Cub Crafters Inc,has Company Research,50872,"Cub Crafters, Inc.",1
cubic.com,14046,Cubic Corporation,has Company Research,66459,Cubic Corporation,5
cubic.com,14046,Cubic Corporation,has Company Research,66466,Cubic Defense,2
cubic.com,14046,Cubic Corporation,has Company Research,67381,Cubic,8
